COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,e_e000540,1,1,4,1
1,e_e000541,1,1,5,1
2,e_e000541,2,1,1,1
1,e_e000544,2,1,2,1
1,e_e000547,1,2,4,1
3,e_e000547,2,1,1,1
2,e_e000547,2,2,1,1
2,e_e000548,2,1,1,1
1,e_e000548,1,2,5,1
1,e_e000552,3,2,8,1
2,e_e000556,3,2,6,1
1,e_e000556,3,1,7,1
2,e_e000557,2,1,1,1
1,e_e000557,1,2,4,1
1,e_e000560,6,2,4,1
1,e_e000563,1,1,4,1
1,e_e000567,1,1,4,1
3,e_e000567,2,1,1,1
2,e_e000567,2,1,1,1
1,e_e000569,1,2,4,1
2,e_e000569,2,1,1,1
1,e_e000579,8,2,4,1
1,e_e000584,3,2,7,1
1,e_e000590,1,1,4,1
1,e_e000591,1,1,5,1
1,e_e000594,8,1,4,1
1,e_e000595,8,1,3,1
1,e_e000597,2,1,1,1
1,e_e000599,2,1,1,1
2,e_e000603,2,1,2,1
1,e_e000603,1,1,5,1
3,e_e000603,2,2,1,1
1,e_e000607,3,1,7,1
3,e_e000607,5,1,4,1
2,e_e000607,3,2,6,1
1,e_e000609,1,1,5,1
2,e_e000609,2,1,1,1
1,e_e000612,2,2,2,1
1,e_e000615,7,1,4,1
1,e_e000618,8,1,5,3
1,e_e000620,3,1,7,1
2,e_e000620,3,2,7,1
1,e_e000622,8,1,4,1
5,e_e000623,7,2,1,3
2,e_e000623,2,1,1,1
4,e_e000623,7,2,4,3
1,e_e000623,1,1,4,1
3,e_e000623,7,1,4,3
2,e_e000625,3,2,7,1
1,e_e000625,3,1,7,1
2,e_e000628,7,1,4,1
1,e_e000628,7,1,4,1
1,e_e000637,7,2,3,3
1,e_e000640,10,2,8,1
2,e_e000640,10,2,8,1
1,e_e000641,1,1,5,1
3,e_e000641,2,1,1,1
2,e_e000641,2,1,1,1
2,e_e000644,2,1,2,1
1,e_e000644,1,2,5,1
3,e_e000644,2,2,1,1
1,e_e000645,8,1,4,1
1,e_e000647,8,1,4,1
2,e_e000648,2,2,2,1
1,e_e000648,1,1,5,1
3,e_e000648,2,2,2,1
1,e_e000651,1,1,6,1
3,e_e000651,2,1,3,1
2,e_e000651,2,1,3,1
1,e_e000664,1,2,4,1
2,e_e000664,2,1,1,1
1,e_e000666,8,2,3,3
2,e_e000669,2,2,1,1
1,e_e000669,1,2,4,1
3,e_e000669,2,2,1,1
1,e_e000672,1,2,7,1
3,e_e000672,10,1,7,3
5,e_e000672,10,1,7,3
7,e_e000672,10,1,7,3
9,e_e000672,10,2,7,3
2,e_e000672,10,1,7,3
4,e_e000672,10,1,7,3
6,e_e000672,10,1,7,3
8,e_e000672,10,2,7,3
1,e_e000680,1,2,4,1
2,e_e000680,2,1,1,1
1,e_e000682,5,2,3,1
1,e_e000686,8,2,3,1
1,e_e000689,8,2,3,1
1,e_e000691,1,1,4,1
1,e_e000693,1,1,5,1
2,e_e000693,2,2,2,1
1,e_e000695,8,1,4,1
2,e_e000696,2,1,1,1
1,e_e000696,1,1,5,1
3,e_e000696,2,2,1,1
1,e_e000699,7,2,3,3
3,e_e000706,7,2,3,1
5,e_e000706,7,2,3,1
2,e_e000706,7,2,3,1
4,e_e000706,7,2,3,1
1,e_e000706,7,2,3,1
2,e_e000707,2,2,1,1
1,e_e000707,1,1,5,1
3,e_e000707,2,2,1,1
1,e_e000709,1,2,5,1
2,e_e000709,2,1,2,1
1,e_e000710,1,1,4,1
1,e_e000715,7,1,3,1
3,e_e000717,6,2,8,1
2,e_e000717,6,1,8,1
1,e_e000717,3,2,7,1
2,e_e000733,2,2,1,1
1,e_e000733,1,1,5,1
3,e_e000733,2,2,1,1
1,e_e000738,8,2,4,1
1,e_e000743,8,2,4,3
2,e_e000745,2,1,1,1
1,e_e000745,1,1,4,1
1,e_e000746,8,2,4,1
4,e_e000747,10,2,4,3
6,e_e000747,10,1,1,3
1,e_e000747,1,1,5,1
3,e_e000747,10,1,5,3
5,e_e000747,10,1,1,3
2,e_e000747,2,2,1,1
1,e_e000748,1,1,4,1
2,e_e000751,2,1,1,1
1,e_e000751,1,2,3,1
1,e_e000760,1,2,4,1
3,e_e000760,2,2,1,1
2,e_e000760,2,2,1,1
1,e_e000761,1,2,5,1
2,e_e000761,2,1,1,1
1,e_e000765,2,1,1,1
2,e_e000765,2,1,1,1
1,e_e000771,1,1,4,1
2,e_e000771,2,2,1,1
1,e_e000774,1,1,4,1
3,e_e000774,7,2,4,3
5,e_e000774,11,1,1,3
2,e_e000774,2,2,1,1
4,e_e000774,7,1,4,3
6,e_e000774,11,2,1,3
2,e_e000782,7,2,5,3
1,e_e000782,7,2,5,3
2,e_e000785,3,2,6,1
4,e_e000785,5,1,2,3
1,e_e000785,3,1,6,1
3,e_e000785,5,2,3,1
2,e_e000787,7,1,3,1
4,e_e000787,7,2,3,1
1,e_e000787,7,1,3,1
3,e_e000787,7,2,3,1
2,e_e000789,2,1,2,1
1,e_e000789,1,1,5,1
3,e_e000789,2,1,1,1
1,e_e000791,8,1,3,1
1,e_e000793,2,2,5,1
2,e_e000803,2,1,1,1
1,e_e000803,1,2,4,1
3,e_e000803,2,1,1,1
1,e_e000804,1,1,5,1
2,e_e000805,2,1,1,1
1,e_e000805,1,1,4,1
2,e_e000807,7,2,3,1
1,e_e000807,7,2,3,1
1,e_e000811,1,1,5,3
3,e_e000811,2,1,2,3
2,e_e000811,3,2,8,3
4,e_e000811,2,1,2,1
1,e_e000812,1,1,5,1
3,e_e000812,2,1,1,1
2,e_e000812,2,1,1,1
2,e_e000817,2,2,1,1
1,e_e000817,1,1,5,1
1,e_e000818,8,1,4,3
2,e_e000826,2,2,1,1
1,e_e000826,1,1,5,1
1,e_e000828,1,1,6,1
1,e_e000830,1,1,5,1
2,e_e000830,2,1,1,1
1,e_e000831,1,1,5,1
3,e_e000831,2,1,1,1
2,e_e000831,2,2,2,1
2,e_e000838,2,1,1,1
1,e_e000838,1,2,4,1
3,e_e000838,2,2,1,1
1,e_e000840,1,1,4,1
3,e_e000840,2,2,1,1
2,e_e000840,2,1,1,1
1,e_e000841,3,2,6,1
2,e_e000841,5,1,3,1
2,e_e000844,2,1,1,1
1,e_e000844,1,1,5,1
1,e_e000849,7,2,3,3
1,e_e000852,8,1,4,1
1,e_e000854,1,1,5,1
3,e_e000854,2,2,2,1
2,e_e000854,2,1,2,1
4,e_e000854,2,2,2,1
1,e_e000856,5,2,3,1
1,e_e000861,2,2,1,1
1,e_e000863,3,2,6,1
3,e_e000872,11,2,2,1
2,e_e000872,7,1,5,1
4,e_e000872,11,1,2,1
1,e_e000872,2,2,2,1
1,e_e000877,1,1,5,1
3,e_e000877,7,1,5,1
5,e_e000877,2,1,1,1
2,e_e000877,2,2,1,1
4,e_e000877,7,2,5,1
1,e_e000889,8,2,4,1
1,e_e000902,8,2,4,1
2,e_e000917,2,1,1,1
1,e_e000917,1,1,5,1
3,e_e000917,2,2,1,1
1,e_e000919,7,1,4,2
3,e_e000919,7,1,4,2
2,e_e000919,7,1,4,2
1,e_e000930,7,2,3,2
2,e_e000932,5,2,3,1
1,e_e000932,3,2,6,1
2,e_e000935,1,2,5,1
4,e_e000935,2,2,1,1
1,e_e000935,3,2,7,2
3,e_e000935,2,1,1,1
1,e_e000936,7,2,3,1
1,e_e000938,1,1,5,1
3,e_e000938,2,2,1,1
2,e_e000938,2,1,2,1
1,e_e000942,8,2,4,1
1,e_e000947,3,2,7,1
1,e_e000949,1,1,5,1
2,e_e000949,2,1,1,1
1,e_e000950,3,2,8,3
3,e_e000950,2,2,3,1
5,e_e000950,2,2,3,1
7,e_e000950,6,2,5,3
9,e_e000950,6,2,2,3
2,e_e000950,1,1,6,1
4,e_e000950,2,2,3,1
6,e_e000950,6,1,6,3
8,e_e000950,6,1,2,3
2,e_e000955,7,2,4,1
1,e_e000955,7,2,4,1
3,e_e000955,7,2,4,1
2,e_e000959,2,2,2,1
1,e_e000959,2,2,2,1
3,e_e000959,5,2,5,1
1,e_e000961,3,2,7,3
3,e_e000961,2,2,2,1
2,e_e000961,1,2,4,1
2,e_e000962,2,2,2,1
1,e_e000962,1,1,4,1
1,e_e000966,1,2,5,1
3,e_e000966,6,1,8,1
2,e_e000966,3,2,8,1
4,e_e000966,5,2,6,1
1,e_e000967,3,1,7,3
3,e_e000967,5,1,3,3
2,e_e000967,5,2,4,1
2,e_e000973,7,1,6,1
1,e_e000973,1,2,6,1
3,e_e000973,7,2,6,1
1,e_e000984,1,1,4,1
1,e_e000987,7,1,3,1
1,e_e000992,2,1,2,1
1,e_e000993,8,1,3,3
2,e_e000994,7,1,3,1
1,e_e000994,7,2,3,1
1,e_e000995,2,1,1,1
1,e_e000997,1,1,5,1
2,e_e000997,2,1,2,1
1,e_e000998,1,1,5,1
2,e_e000998,2,2,1,1
1,e_e000999,2,2,5,1
3,e_e000999,11,1,2,2
2,e_e000999,2,1,5,1
1,e_e001001,8,2,4,1
1,e_e001009,5,2,4,1
1,e_e001012,7,2,3,1
1,e_e001014,8,1,3,1
1,e_e001022,3,2,6,1
2,e_e001023,7,2,3,1
1,e_e001023,7,2,3,1
1,e_e001024,8,1,3,3
1,e_e001025,1,1,4,1
1,e_e001026,1,2,4,1
1,e_e001029,1,1,5,1
2,e_e001029,2,2,1,1
4,e_e001030,5,2,6,3
1,e_e001030,1,1,5,1
3,e_e001030,3,2,8,1
5,e_e001030,5,1,7,3
2,e_e001030,2,1,2,1
1,e_e001031,8,1,3,1
1,e_e001040,8,2,4,1
1,e_e001041,1,1,6,1
3,e_e001041,2,2,2,1
2,e_e001041,2,1,2,1
1,e_e001049,1,1,5,1
2,e_e001057,2,1,4,1
1,e_e001057,1,1,7,1
3,e_e001057,2,2,4,1
1,e_e001059,1,1,4,1
2,e_e001060,2,2,1,1
1,e_e001060,1,1,4,1
3,e_e001060,2,2,1,1
1,e_e001063,1,2,4,1
2,e_e001068,9,2,4,3
4,e_e001068,9,1,3,3
1,e_e001068,9,1,5,3
3,e_e001068,9,1,3,3
1,e_e001069,8,2,4,1
1,e_e001070,8,1,3,1
1,e_e001079,8,1,4,1
1,e_e001081,1,2,4,1
1,e_e001084,8,2,6,1
3,e_e001084,5,2,6,3
5,e_e001084,6,2,3,3
7,e_e001084,6,2,3,3
2,e_e001084,3,2,8,3
4,e_e001084,5,2,6,3
6,e_e001084,6,2,3,3
8,e_e001084,6,1,3,3
1,e_e001093,7,2,4,3
1,e_e001097,2,2,2,1
1,e_e001098,7,2,4,1
2,e_e001103,7,2,4,1
1,e_e001103,7,2,4,1
1,e_e001104,8,1,3,1
1,e_e001110,1,1,6,1
3,e_e001110,3,2,8,1
5,e_e001110,6,2,4,1
7,e_e001110,2,2,2,1
9,e_e001110,6,1,2,1
2,e_e001110,3,1,8,1
4,e_e001110,6,1,5,1
6,e_e001110,2,2,3,1
8,e_e001110,2,1,2,1
10,e_e001110,6,2,1,1
1,e_e001114,8,1,3,1
1,e_e001117,8,1,3,1
2,e_e001118,2,1,2,1
1,e_e001118,1,2,5,1
1,e_e001124,7,2,4,1
1,e_e001125,1,2,4,1
1,e_e001126,2,1,1,1
1,e_e001127,1,1,5,1
2,e_e001127,2,1,1,1
1,e_e001130,1,1,4,1
3,e_e001130,2,1,1,1
2,e_e001130,2,2,1,1
1,e_e001131,8,1,4,1
1,e_e001132,8,2,3,1
1,e_e001134,3,1,6,1
2,e_e001134,3,2,6,1
1,e_e001137,7,2,3,3
1,e_e001142,7,2,4,1
1,e_e001147,8,1,3,1
2,e_e001149,7,1,3,3
1,e_e001149,7,2,3,1
3,e_e001149,7,1,3,1
1,e_e001150,1,1,5,1
2,e_e001150,2,2,2,1
1,e_e001159,1,1,4,1
1,e_e001164,7,2,5,3
1,e_e001166,2,2,2,1
1,e_e001171,7,1,4,1
1,e_e001173,1,2,4,1
