TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
e_e000015,2304300008,,2304300008,,2023-04-30 23:30,5,13
e_e000015,2305010001,,2305010001,,2023-05-01 23:30,12,5
e_e000015,2305010002,,2305010002,,2023-05-01 13:30,5,
e_e000015,2305010003,,2305010003,,2023-05-01 15:30,5,
e_e000015,2305010004,,2305010004,,2023-05-01 16:00,15,
e_e000015,2305010005,,2305010005,,2023-05-01 17:00,15,
e_e000015,2305010006,,2305010006,,2023-05-01 18:30,5,
e_e000015,2305010007,,2305010007,,2023-05-01 20:00,5,
e_e000016,2304290001,2304290001,,2023-04-29 14:00,,,
e_e000016,2304290002,,2304290002,,2023-04-29 15:00,1,
e_e000016,2304290003,,2304290003,,2023-04-29 17:30,1,
e_e000016,2304290004,,2304290004,,2023-04-29 18:30,1,
e_e000018,2304290001,2304290001,,2023-04-29 12:00,,,
e_e000018,2304290002,,2304290002,,2023-04-29 18:00,1,
e_e000018,2304290003,,2304290003,,2023-04-29 12:30,1,
e_e000018,2304290004,,2304290004,,2023-04-29 14:00,1,
e_e000020,2304290001,2304290001,,2023-04-29 11:30,,,
e_e000020,2304290002,,2304290002,,2023-04-29 14:00,1,
e_e000020,2304290003,,2304290003,,2023-04-29 15:00,1,
e_e000020,2304290004,,2304290004,,2023-04-29 17:00,1,
e_e000020,2304290005,,2304290005,,2023-04-29 19:30,1,
e_e000020,2304290006,,2304290006,,2023-04-29 20:30,1,
e_e000020,2304290007,,2304290007,,2023-04-29 21:30,1,
e_e000020,2304300001,,2304300001,,2023-04-30 11:30,1,
e_e000020,2304300002,,2304300002,,2023-04-30 12:30,1,
e_e000020,2304300003,,2304300003,,2023-04-30 14:00,1,
e_e000020,2304300004,,2304300004,,2023-04-30 15:30,1,
e_e000020,2304300005,,2304300005,,2023-04-30 17:30,1,
e_e000020,2304300006,,2304300006,,2023-04-30 19:00,1,
e_e000021,2304290001,2304290001,,2023-04-29 10:00,,,
e_e000021,2304290002,,2304290002,,2023-04-29 13:30,7,
e_e000021,2304290003,,2304290003,,2023-04-29 14:30,1,
e_e000021,2304290004,,2304290004,,2023-04-29 17:00,1,
e_e000021,2304290005,,2304290005,,2023-04-29 19:30,15,
e_e000021,2304290006,,2304290006,,2023-04-29 20:30,15,
e_e000021,2304290007,,2304290007,,2023-04-29 21:00,15,
e_e000021,2304290008,,2304290008,,2023-04-29 16:00,1,
e_e000021,2304290009,,2304290009,,2023-04-29 12:00,5,
e_e000021,2304300001,,2304300001,,2023-04-30 12:30,1,
e_e000021,2304300002,,2304300002,,2023-04-30 13:30,1,
e_e000021,2304300003,,2304300003,,2023-04-30 15:00,1,
e_e000021,2304300004,,2304300004,,2023-04-30 15:00,1,
e_e000021,2304300005,,2304300005,,2023-04-30 18:00,1,
e_e000021,2304300006,,2304300006,,2023-04-30 19:00,7,
e_e000021,2304300007,,2304300007,,2023-04-30 20:00,5,
e_e000022,2304290001,2304290001,,2023-04-29 10:30,,,
e_e000022,2304290002,,2304290002,,2023-04-29 13:00,1,1
e_e000022,2304290003,,2304290003,,2023-04-29 16:00,1,1
e_e000022,2304290004,,2304290004,,2023-04-29 19:00,1,
e_e000022,2304290005,,2304290005,,2023-04-29 21:00,1,1
e_e000023,2304290001,2304290001,,2023-04-29 09:00,,,
e_e000023,2304290002,,2304290002,,2023-04-29 10:30,1,
e_e000023,2304290003,,2304290003,,2023-04-29 12:00,15,
e_e000023,2304290004,,2304290004,,2023-04-29 12:30,15,
e_e000023,2304290005,,2304290005,,2023-04-29 14:00,15,
e_e000023,2304290006,,2304290006,,2023-04-29 15:30,15,
e_e000023,2304290007,,2304290007,,2023-04-29 17:30,1,
e_e000025,2304300001,2304300001,,2023-04-30 11:30,,,
e_e000025,2304300002,,2304300002,,2023-04-30 18:30,1,
e_e000025,2304300003,,2304300003,,2023-04-30 12:30,1,
