TRAVELER_ID,GENDER,AGE_GRP,INCOME,RESIDENCE_SGG_CD,RESIDENCE_SIDO_NM,MARR_STTS,JOB_NM,TRAVEL_NUM,TRAVEL_DAYS_SUM,VISIT_AREA_CNT,RESIDENCE_TIME_MIN_AVG,PAYMENT_AMT_WON_PER_UNIT,PAYMENT_AMT_WON_SUM,PAYMENT_AMT_WON_PER_PERSON,PAYMENT_AMT_WON_PER_DAY,LODGE_PAYMENT_AMT_WON_SUM,ACTIVITY_PAYMENT_AMT_WON_SUM,MVMN_PAYMENT_AMT_WON_SUM,LODGING_TYPE_CD,LODGING_YN,ACTIVITY_TYPE_CD_CNT,MVMN_NM,TRAVEL_PURPOSE,TRAVEL_COMPANION_TYPE,TRAVEL_COMPANIONS_NUM,VISIT_SIDO_SGG_NM,DGSTFN_AVG,REVISIT_INTENTION_AVG,RCMDTN_INTENTION_AVG,TRAVEL_LIKE_SGG_1,TRAVEL_STYL_ALL,TRAVEL_MOTIVE_ALL,COMPANION_AGE_GRP_1,COMPANION_AGE_GRP_2,COMPANION_AGE_GRP_3,COMPANION_AGE_GRP_4,COMPANION_AGE_GRP_5,COMPANION_GENDER_1,COMPANION_GENDER_2,COMPANION_GENDER_3,COMPANION_GENDER_4,COMPANION_GENDER_5,VALUE_SEGMENT,VALUE_SEGMENT_SUB
e002131,남,60,월평균 300만원 ~ 400만원 미만,28,인천광역시,기혼,전문가 및 관련 종사자,2,2,7,250,7756.25,124100,15512.5,62050,50000,50100,24000,"야영(캠핑,글램핑등)",Y,1,자가용(승용/승합/트럭 등등),"야외 스포츠, 레포츠 활동;SNS 인생샷 여행;신규 여행지 발굴;친환경 여행(플로깅 여행);Well-ness 여행;종교/성지 순례;캠핑",3대 동반 여행(친척 포함),8,,4,3.4,3.4,41650,"자연 선호 약간선호,자연 선호 약간선호,자연 선호 약간선호,중립,도시 선호 약간선호,자연 선호 약간선호,자연 선호 약간선호,중립","여행 동반자와의 친밀감 및 유대감 증진,일상적인 환경 및 역할에서의 탈출, 지루함 탈피,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",30대,10대,60대,50대,50대,남자,여자,여자,남자,여자,C,C1
e002132,여,30,월평균 200만원 ~ 300만원 미만,41,경기도,미혼,서비스 종사자,4,1,7,75,36200,72400,36200,72400,0,59400,13000,,N,1,자가용(승용/승합/트럭 등등),"테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행;시티투어",2인 여행(가족 외),2,경기도 수원시 장안구,4.2,4,3.8,42820,"자연 선호 매우선호,자연 선호 매우선호,자연 선호 매우선호,자연 선호 매우선호,자연 선호 매우선호,중립,자연 선호 약간선호,도시 선호 약간선호","일상적인 환경 및 역할에서의 탈출, 지루함 탈피,새로운 경험 추구,SNS 사진 등록 등 과시",30대,,,,,남자,,,,,C,C0
e002135,여,40,소득없음 ,41,경기도,기혼,전업주부,10,2,9,262.5,37200,297600,74400,148800,200000,65200,32400,"야영(캠핑,글램핑등)",Y,2,자가용(승용/승합/트럭 등등),SNS 인생샷 여행;캠핑,자녀 동반 여행,4,,4,3.857142857,3.857142857,41820,"도시 선호 약간선호,자연 선호 중간선호,중립,자연 선호 중간선호,도시 선호 중간선호,도시 선호 중간선호,중립,도시 선호 중간선호","새로운 경험 추구,일상적인 환경 및 역할에서의 탈출, 지루함 탈피,여행 동반자와의 친밀감 및 유대감 증진",40대,~9세이하,~9세이하,,,남자,남자,남자,,,C,C1
e002136,여,30,소득없음 ,29,광주광역시,기혼,사무 종사자,1,1,8,55.71428571,382080,764160,382080,764160,0,596200,157960,,N,2,"KTX/SRT(고속열차),버스 + 지하철,택시",쇼핑;SNS 인생샷 여행;인플루언서 따라하기 여행;시티투어;유흥/오락(나이트라이프),2인 가족 여행,2,,3.666666667,3.333333333,3.666666667,50130,"도시 선호 중간선호,도시 선호 중간선호,자연 선호 중간선호,자연 선호 중간선호,도시 선호 중간선호,자연 선호 중간선호,자연 선호 매우선호,중립","여행 동반자와의 친밀감 및 유대감 증진,SNS 사진 등록 등 과시,",30대,,,,,남자,,,,,A,A0
e002141,남,40,월평균 300만원 ~ 400만원 미만,41,경기도,기혼,사무 종사자,2,2,16,64,38120.66667,228724,76241.333333,114362,0,112500,47400,,N,2,자가용(승용/승합/트럭 등등),"쇼핑;테마파크, 놀이시설, 동/식물원 방문;시티투어;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가",자녀 동반 여행,3,,3.928571429,3.714285714,3.571428571,45710,"도시 선호 중간선호,자연 선호 중간선호,자연 선호 약간선호,중립,도시 선호 중간선호,자연 선호 중간선호,도시 선호 약간선호,중립","여행 동반자와의 친밀감 및 유대감 증진,새로운 경험 추구,역사 탐방, 문화적 경험 등 교육적 동기",40대,~9세이하,,,,여자,남자,,,,C,C0
e002143,여,30,월평균 200만원 ~ 300만원 미만,41,경기도,미혼,사무 종사자,3,2,12,136.3636364,45375,90750,90750,45375,0,81900,8850,,N,2,"시내/마을버스,자가용(승용/승합/트럭 등등)",쇼핑;지역 축제/이벤트 참가;지역 문화예술/공연/전시시설 관람;Well-ness 여행;SNS 인생샷 여행;교육/체험 프로그램 참가,나홀로 여행,1,,4.625,4.375,4.5,42210,"자연 선호 중간선호,자연 선호 중간선호,자연 선호 중간선호,자연 선호 매우선호,자연 선호 중간선호,자연 선호 중간선호,자연 선호 중간선호,도시 선호 매우선호","일상적인 환경 및 역할에서의 탈출, 지루함 탈피,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,새로운 경험 추구",,,,,,,,,,,C,B0
e002145,남,30,소득없음 ,44,충청남도,미혼,학생,4,1,6,108,10000,30000,10000,30000,0,13900,16100,,N,1,"버스 + 지하철,새마을/무궁화열차",지역 문화예술/공연/전시시설 관람;시티투어,3인 이상 여행(가족 외),3,,4,3.5,3.25,50130,"중립,자연 선호 매우선호,자연 선호 중간선호,도시 선호 약간선호,자연 선호 약간선호,도시 선호 약간선호,도시 선호 매우선호,자연 선호 매우선호","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,여행 동반자와의 친밀감 및 유대감 증진,일상적인 환경 및 역할에서의 탈출, 지루함 탈피",20대,20대,,,,여자,여자,,,,C,C0
e002146,여,30,월평균 100만원 미만,11,서울특별시,미혼,서비스 종사자,1,1,4,120,33900,67800,33900,67800,0,37800,30000,,N,1,자가용(승용/승합/트럭 등등),"쇼핑;테마파크, 놀이시설, 동/식물원 방문",2인 여행(가족 외),2,,4,4,4.5,50110,"자연 선호 중간선호,자연 선호 약간선호,도시 선호 중간선호,자연 선호 약간선호,중립,중립,도시 선호 약간선호,도시 선호 중간선호","일상적인 환경 및 역할에서의 탈출, 지루함 탈피,,",30대,,,,,남자,,,,,C,C0
e002148,여,40,월평균 300만원 ~ 400만원 미만,11,서울특별시,기혼,전문가 및 관련 종사자,3,2,9,135,44350,354800,88700,177400,76500,221900,56400,호텔,Y,2,자가용(승용/승합/트럭 등등),SNS 인생샷 여행;호캉스 여행;역사 유적지 방문;지역 문화예술/공연/전시시설 관람,자녀 동반 여행,4,,5,5,5,42150,"자연 선호 중간선호,중립,자연 선호 매우선호,자연 선호 약간선호,도시 선호 매우선호,도시 선호 중간선호,자연 선호 매우선호,도시 선호 매우선호","역사 탐방, 문화적 경험 등 교육적 동기,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,새로운 경험 추구",40대,10대,~9세이하,,,남자,남자,남자,,,C,C1
e002152,여,20,월평균 100만원 미만,41,경기도,미혼,전문가 및 관련 종사자,2,1,5,97.5,131450,262900,131450,262900,0,248300,14600,,N,2,자가용(승용/승합/트럭 등등),쇼핑;SNS 인생샷 여행;인플루언서 따라하기 여행,2인 여행(가족 외),2,경기도 평택시,4.666666667,4.333333333,4.333333333,50130,"자연 선호 약간선호,자연 선호 중간선호,중립,자연 선호 중간선호,도시 선호 중간선호,도시 선호 중간선호,자연 선호 약간선호,도시 선호 중간선호","일상적인 환경 및 역할에서의 탈출, 지루함 탈피,SNS 사진 등록 등 과시,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",20대,,,,,남자,,,,,A,A0
